company,employmenttype_jobstatus,jobdescription,joblocation_address,jobtitle,postdate,skills
Verint Systems Inc.,Full Time,"Overview of Job Function:The Customer Support Organization provides Verint’s installed customer base with post-implementation technical support services for the full line of Verint EIS software offerings.Verint Systems, Inc. has an immediate Product Support Specialist opening available in Alpharetta, GA. The Product Support Specialist role analyzes and evaluates technical problems and/or functionality questions within the software based on the application, data source or integration with external applications. The role determines the best course of action to resolve the problem or inquiry.Principal Duties and Essential Responsibilities:Function as primary customer contact for all incoming calls and assigned customer cases by providing telephone, web, and email based technical support for Verint’s products.  Ensure the highest level of communication with the customer to meet Verint’s contractual Service level Agreement (SLA) by providing regular updates with respect to progress of each incident, and quickly providing high quality, creative, and timely solutions in a professional manner while demonstrating the highest level of customer service.Facilitate resolutions with Verint’s customer contacts and with other members of the Verint organization (sales, services, product house, etc.) as necessary in the course of problem resolution. Technical guidance may be provided by a Senior Product Support Specialist and/or Technical Lead.    Other duties and responsibilities as assigned.Minimum Requirements:Bachelor’s degree in an information technology discipline or the equivalent number of years work experience.5 years of customer contact center or service experience that supports implementation, and troubleshooting of software applications and related technology infrastructure.Experience with operating systems, desktop domains (active directory) and Windows securityAbility to interpret  schemas and/or author queries and stored proceduresStrong communication skills written and verbalExperience in documenting customer issues with ability to tailor the explanation of technical concepts to the audienceExperience in effectively dealing with customer service issues and handling customer conflictAbility to work a flexible schedule in the interest of customer satisfaction; may be required to participate in on-call rotations consistent with Support’s published on-call policyFamiliarity with Contact Center operations and technology software and toolsSuccessful completion of a background screening process including, but not limited to, employment verifications, criminal search, OFAC and Social Security verification;Preferred Requirements:Familiarity with use of troubleshooting and diagnostic tools such as Wireshark, NetMon, PerfMon, WinDBG, etc.Prior experience with the installation, support, usage or administration of Workforce Management related products or Verint softwareUnderstanding of networking and protocols (TCP/IP, SMTP, etc.)Knowledge of telecom systems (CTI, PBX, VOIP) including switches and protocolsDemonstrated experience working with databases (SQL preferred)Ability to author technical articles to document found solution","Alpharetta, GA",Product Support Specialist,3 days ago,"5 years of customer contact center or service experience that supports implementation, and troubleshooting of software applications and related technology infrastructure."
Eagle Investment Systems,Full Time,"Overview: The Eagle Technical Consultant is required to provide Eagle’s global client base with onsite as well as remote technical consultation.  This is a revenue-generating role which involves executing installations & upgrades, migrations, platform optimization, and the ability to provide written and verbal guidance on the subject matter.  The candidate is enthusiastic, presents him/herself with confidence in front of clients, and has proven technical skills.  The individual will work on technical engagements of varying length and composition, ranging from single day engagements to projects spanning several months and in some cases over a year. Role:The Eagle Technical Consultant provides technical consultation to Eagle’s global client base, which consists of clients on the Eagle ACCESS Secure Private Cloud or clients hosting the platform in their own datacenters on their own servers.  Consultation is based off of a defined service offering which focuses on the core Eagle platform and surrounding technology stack.  Eagle Technical Consultants are engaged for hands-on consultation including hardware sizing, platform upgrades, technical optimization/tuning at the application and database tiers, client training, complex technical solutioning, as well as providing guidance and advice to key stakeholders both internally and with the client around technical direction, IT strategy as it pertains to Eagle, and mitigating technology risk.  The applicant must have 5+ years of experience in a technical field with excellent problem solving skills and a high technical aptitude to enable growth into more complex solutioning.  Hands-on experience with Oracle and/or MS SQL Server and the Red Hat Linux operating systems is required.  Experience with SQL coding, database tuning, PERL scripting, hardware virtualization & system architecture design, and Linux System administration is advantageous. The candidate must possess excellent written and verbal skills and be able to work effectively with global counterparts in the US, UK, Singapore, and India on a number of joint initiatives; including installations, upgrades, best practices training, and troubleshooting.  Education:The candidate must be degree educated in a science discipline and must understand the core technologies that underpin modern software development, especially data management and messaging technologies.  Ideally, the candidate would have some experience working in the financial services industry.  Travel:Travel is required (25% is common) to assist with on-site implementation and prototyping activities. ","Wellesley, MA",Technical Consultant,2 weeks ago,"Oracle, SQL, script, Linux"
Eagle Investment Systems,Full Time,"Overview: The Eagle Technical Consultant is required to provide Eagle’s global client base with onsite as well as remote technical consultation.  This is a revenue-generating role which involves executing installations & upgrades, migrations, platform optimization, and the ability to provide written and verbal guidance on the subject matter.  The candidate is enthusiastic, presents him/herself with confidence in front of clients, and has proven technical skills.  The individual will work on technical engagements of varying length and composition, ranging from single day engagements to projects spanning several months and in some cases over a year. Role:The Eagle Technical Consultant provides technical consultation to Eagle’s global client base, which consists of clients on the Eagle ACCESS Secure Private Cloud or clients hosting the platform in their own datacenters on their own servers.  Consultation is based off of a defined service offering which focuses on the core Eagle platform and surrounding technology stack.  Eagle Technical Consultants are engaged for hands-on consultation including hardware sizing, platform upgrades, technical optimization/tuning at the application and database tiers, client training, complex technical solutioning, as well as providing guidance and advice to key stakeholders both internally and with the client around technical direction, IT strategy as it pertains to Eagle, and mitigating technology risk.  The applicant must have 5+ years of experience in a technical field with excellent problem solving skills and a high technical aptitude to enable growth into more complex solutioning.  Hands-on experience with Oracle and/or MS SQL Server and the Red Hat Linux operating systems is required.  Experience with SQL coding, database tuning, PERL scripting, hardware virtualization & system architecture design, and Linux System administration is advantageous. The candidate must possess excellent written and verbal skills and be able to work effectively with global counterparts in the US, UK, Singapore, and India on a number of joint initiatives; including installations, upgrades, best practices training, and troubleshooting.  Education:The candidate must be degree educated in a science discipline and must understand the core technologies that underpin modern software development, especially data management and messaging technologies.  Ideally, the candidate would have some experience working in the financial services industry.  Travel:Travel is required (25% is common) to assist with on-site implementation and prototyping activities. ","Wellesley, MA",Technical Consultant,3 weeks ago,"Oracle, SQL, script, Linux"
Tri-Starr Personnel,Full Time,"OVERVIEW: We are looking for a Technical Architect to be the overall lead in responsibilities for the design, implementation, and maintenance of Information Systems Infrastructure. Utilizing MS and Java technology to provide appropriate infrastructure cloud-based services (IaaS, PaaS, and SaaS), the Technical Architect possesses a broad range of skills and experience. The position will be charged with hands-on responsibility and oversight for systems architecture, infrastructure, stability, security, and performance. This is an individual contributor role at this time.  RELOCATION IS AVAILABLE FOR THE RIGHT CANDIDATE. RESPONSIBILITIES: Architecture / Infrastructure Provide systems engineering leadership on architecture and infrastructure across the enterprise, to ensure we are able to offer high availability of systems to our employees and customersEvaluate, test, develop, and implement complex technical solutions to address a variety of business problemsDesign, implement, and manage platforms, networking, and information securityDemonstrate good judgment in solving problems, as well as identifying problems in advance, and propose appropriate solutionsProvide leadership on website architecture, addressing vulnerabilities and recommending best practicesEnsure appropriate environment staging and available to configure/code, test and deploy changes through to productionLeverage appropriate change management processes, to ensure successful deployment of code and configuration changes to live websiteDisaster Recovery / Business Continuity establishment and managementThird Party Vendor ManagementLeverage appropriate change management processes, to ensure successful deployment of code and configuration changes to productionDatabase Implement and maintain database(s)Establish procedures related to database managementPerform maintenance to ensure data integritySet up programs for periodic data cleansing to drive/maintain performanceCreate Custom Queries / Ad Hoc Report Creation, as needed to further identify data issuesREQUIRED QUALIFICATIONS:Bachelor's DegreeThird Party Vendor Management experience, to include IaaS, PaaS, and SaaS vendorsExperience reviewing and negotiating technology vendor contractsDemonstrated knowledge of and experience:working with hybrid cloud environmentswhiteboarding information systems architectures / infrastructurearchitecting websitesdesigning and standing up multiple staging environmentsdeploying and maintaining databasesbuilding custom queries and ad hoc reportsdeveloping disaster recovery and business continuing plans; testing samedesigning, deploying and maintaining high availability solutionsdesigning and leveraging best practices regarding security","San Antonio, TX",Technical Architect,3 days ago,"sql, table creation,"
Tri-Starr Personnel,Full Time,"OVERVIEW: We are looking for a Technical Architect to be the overall lead in responsibilities for the design, implementation, and maintenance of Information Systems Infrastructure. Utilizing MS and Java technology to provide appropriate infrastructure cloud-based services (IaaS, PaaS, and SaaS), the Technical Architect possesses a broad range of skills and experience. The position will be charged with hands-on responsibility and oversight for systems architecture, infrastructure, stability, security, and performance. This is an individual contributor role at this time.  RELOCATION IS AVAILABLE FOR THE RIGHT CANDIDATE. RESPONSIBILITIES: Architecture / Infrastructure Provide systems engineering leadership on architecture and infrastructure across the enterprise, to ensure we are able to offer high availability of systems to our employees and customersEvaluate, test, develop, and implement complex technical solutions to address a variety of business problemsDesign, implement, and manage platforms, networking, and information securityDemonstrate good judgment in solving problems, as well as identifying problems in advance, and propose appropriate solutionsProvide leadership on website architecture, addressing vulnerabilities and recommending best practicesEnsure appropriate environment staging and available to configure/code, test and deploy changes through to productionLeverage appropriate change management processes, to ensure successful deployment of code and configuration changes to live websiteDisaster Recovery / Business Continuity establishment and managementThird Party Vendor ManagementLeverage appropriate change management processes, to ensure successful deployment of code and configuration changes to productionDatabase Implement and maintain database(s)Establish procedures related to database managementPerform maintenance to ensure data integritySet up programs for periodic data cleansing to drive/maintain performanceCreate Custom Queries / Ad Hoc Report Creation, as needed to further identify data issuesREQUIRED QUALIFICATIONS:Bachelor's DegreeThird Party Vendor Management experience, to include IaaS, PaaS, and SaaS vendorsExperience reviewing and negotiating technology vendor contractsDemonstrated knowledge of and experience:working with hybrid cloud environmentswhiteboarding information systems architectures / infrastructurearchitecting websitesdesigning and standing up multiple staging environmentsdeploying and maintaining databasesbuilding custom queries and ad hoc reportsdeveloping disaster recovery and business continuing plans; testing samedesigning, deploying and maintaining high availability solutionsdesigning and leveraging best practices regarding security","San Antonio, TX",Technical Architect,3 days ago,"sql, table creation,"
IPsoft,Full Time,"Overview:As a Technical Writer on the Research & Development team you will be responsible for creating and imparting technical information to technical and non-technical readers on IPsoft’s range of IT offerings.You have the ability to take abstract tasks and synthesize concrete material and have a strong desire to be a major contributor in a small, dynamic work environment. You are comfortable multi-tasking and have experience working in an agile environment under pressure of deadlines. You are interested in new technology and can easily adjust writing style to suit the needs of a diverse audience.Responsibilities:Under minimal direction, analyze and interpret highly specialized technical information to compose detailed documentation and technical manualsConducts complex documentation and user needs analysisAssists others with technical interpretation and appropriate phrasing for document contentLead on all technical documents, including help guides, user guides, administration guides, API documentation and implementation guidesWork with the team of engineers to understand all aspects of productsSynthesize complex concepts and translate them into easy-to-understand technical documents for the user base and marketingReview documentation for an entire project to ensure validity, completeness of content and consistency with order, style and terminology standardsRequirements/Desired Skills and Experience:5+ years of IT industry knowledge in combination with previous Technical Writer experienceAbility to ramp up quickly and work within matrixed organizationStrong knowledge of microservices, distributed systems and architectureExperience with documenting REST API and SaaS applicationsExperience with Git or alternate code repository systemExperience documenting Enterprise Software Systems (User, administrator and How to guides)Strong HTML skillsExperience with web application architectures","New York, NY",Technical Writer,2 weeks ago,"Technical Writer, documentation, API"
IPsoft,Full Time,"Overview:As a Technical Writer on the Research & Development team you will be responsible for creating and imparting technical information to technical and non-technical readers on IPsoft’s range of IT offerings.You have the ability to take abstract tasks and synthesize concrete material and have a strong desire to be a major contributor in a small, dynamic work environment. You are comfortable multi-tasking and have experience working in an agile environment under pressure of deadlines. You are interested in new technology and can easily adjust writing style to suit the needs of a diverse audience.Responsibilities:Under minimal direction, analyze and interpret highly specialized technical information to compose detailed documentation and technical manualsConducts complex documentation and user needs analysisAssists others with technical interpretation and appropriate phrasing for document contentLead on all technical documents, including help guides, user guides, administration guides, API documentation and implementation guidesWork with the team of engineers to understand all aspects of productsSynthesize complex concepts and translate them into easy-to-understand technical documents for the user base and marketingReview documentation for an entire project to ensure validity, completeness of content and consistency with order, style and terminology standardsRequirements/Desired Skills and Experience:5+ years of IT industry knowledge in combination with previous Technical Writer experienceAbility to ramp up quickly and work within matrixed organizationStrong knowledge of microservices, distributed systems and architectureExperience with documenting REST API and SaaS applicationsExperience with Git or alternate code repository systemExperience documenting Enterprise Software Systems (User, administrator and How to guides)Strong HTML skillsExperience with web application architectures","New York, NY",Technical Writer,4 days ago,"Technical Writer, documentation, API"
Selective Insurance,Full Time,"Overview:Contributor to the design, development and implementation of system enhancements within Selective’s commercial lines policy admin system. As a member of the CL Application Delivery team, this individual will work closely with team members and members of the architecture team to design, develop, and implement strategic projects as well as maintenance and enhancements to our mission critical commercial lines applications.  Responsibilities:Support the functional and technical design, development, testing, implementation, and troubleshooting of complex, multi-tier, windows and web based solutions.Participate in the design development of integrations between internal line of business systems and external business to business exchanges to and from CL systems.Follow the prescribed development life cycle and contribute to the ongoing effort to enhance CL coding standards.Participate in code reviews and receive/provide constructive feedback to developers fostering a culture of continuous improvement.Identify opportunities to reuse objects or delegate object development to application development teams when appropriate.Work closely with application architects or enterprise architects on application designWork closely with Business/System Analysts to understand business process and specific workflows within business areas. Qualifications:Ability to effectively collaborate with people in other departments and/or outside of the enterprise.Passion for designing and developing modern web solutionsAbility to think ahead and anticipate problems, issues and solutions.Ability to work effectively under pressure and meet deadlines.Experience developing/supporting enterprise web applications including an understanding of ASP.net lifecycles, SOA, RDBMS and IISStrong development skills including c# and/or VB.net, MVC, client frameworks (JQuery, Knockout, etc.), SQL Server and/or Oracle, web services (WCF, JSON, REST, Web API), entity framework, SSRS, Webspere MQ.Understanding of various application and integration design patterns.Understanding of various application security models, cryptogrophy, and secure coding practices.Experience with business rules engine and/or customer communication management (CCM) platforms a plus.College degree in Computer Science, Management Information Science, Business Administration or related field preferred.Three to five years of programmer/analyst experience.Selective is an Equal Employment Opportunity employer. Selective maintains a drug-free workplace.","Glastonbury, CT",IT Senior .NET Application Developer (ASP.net c#/vb.net),2 weeks ago,"c# and/or VB.net, MVC, client frameworks (JQuery, Knockout, etc.), SQL Server and/or Oracle, web services (WCF, JSON, REST, Web API), entity framework, SSRS, Webspere MQ"
Selective Insurance,Full Time,"Overview:Contributor to the design, development and implementation of system enhancements within Selective’s commercial lines policy admin system. As a member of the CL Application Delivery team, this individual will work closely with team members and members of the architecture team to design, develop, and implement strategic projects as well as maintenance and enhancements to our mission critical commercial lines applications.  Responsibilities:Support the functional and technical design, development, testing, implementation, and troubleshooting of complex, multi-tier, windows and web based solutions.Participate in the design development of integrations between internal line of business systems and external business to business exchanges to and from CL systems.Follow the prescribed development life cycle and contribute to the ongoing effort to enhance CL coding standards.Participate in code reviews and receive/provide constructive feedback to developers fostering a culture of continuous improvement.Identify opportunities to reuse objects or delegate object development to application development teams when appropriate.Work closely with application architects or enterprise architects on application designWork closely with Business/System Analysts to understand business process and specific workflows within business areas. Qualifications:Ability to effectively collaborate with people in other departments and/or outside of the enterprise.Passion for designing and developing modern web solutionsAbility to think ahead and anticipate problems, issues and solutions.Ability to work effectively under pressure and meet deadlines.Experience developing/supporting enterprise web applications including an understanding of ASP.net lifecycles, SOA, RDBMS and IISStrong development skills including c# and/or VB.net, MVC, client frameworks (JQuery, Knockout, etc.), SQL Server and/or Oracle, web services (WCF, JSON, REST, Web API), entity framework, SSRS, Webspere MQ.Understanding of various application and integration design patterns.Understanding of various application security models, cryptogrophy, and secure coding practices.Experience with business rules engine and/or customer communication management (CCM) platforms a plus.College degree in Computer Science, Management Information Science, Business Administration or related field preferred.Three to five years of programmer/analyst experience.Selective is an Equal Employment Opportunity employer. Selective maintains a drug-free workplace.","Glastonbury, CT",IT Senior .NET Application Developer (ASP.net c#/vb.net),3 weeks ago,"c# and/or VB.net, MVC, client frameworks (JQuery, Knockout, etc.), SQL Server and/or Oracle, web services (WCF, JSON, REST, Web API), entity framework, SSRS, Webspere MQ"
Affinity Resource Group (MRI),"Contract Independent, Contract W2","Overview:Our client is a well-established, highly regarded multi-strategy hedge fund with offices in New York, London and Hong Kong.  We are seeking an outstanding software developer to join our team of 10+ developers to work in a highly collaborative, collegial environment, supporting a multitude of business functions within the firm.Role:The role requires a highly energetic, intellectually curious individual who is at the same time self-directed but also enjoys working as part of a team, sharing reusable components and brainstorming ideas.Responsibilities:The candidate work on systems that drive all aspects of our business including daily pricing, P&L, compliance, financing, trade analysis, and risk management. Ideally the candidate will operate vertically over the entire technology stack from database to service tier and UI and will deal with a huge variety of asset classes including equities, FX, Fixed Income, exotic derivatives and more. Technologies:C#, .NET 4.0, WPF, WCF, ASP.Net, Angular/HTML 5MVC/MVVM, ORM (nHibernate / Entity Framework)SQL Server, OLAPSoft Skills:Able to be both pragmatic and strategic and able to analyze and weigh trade-offs.  Good judgment striking balance between time to market and long-term maintainability/reusabilityThrive in a rapidly changing, fast paced business environmentExperience with test-driven-designExcellent communication skills with both technical colleagues and non-technical end-users ","New York, NY",Financial Programmer Analyst - Hedge Fund,1 week ago,"C#, .NET 4.0, WPF, WCF, ASP.Net, Angular/HTML 5"
Affinity Resource Group (MRI),"Contract Independent, Contract W2","Overview:Our client is a well-established, highly regarded multi-strategy hedge fund with offices in New York, London and Hong Kong.  We are seeking an outstanding software developer to join our team of 10+ developers to work in a highly collaborative, collegial environment, supporting a multitude of business functions within the firm.Role:The role requires a highly energetic, intellectually curious individual who is at the same time self-directed but also enjoys working as part of a team, sharing reusable components and brainstorming ideas.Responsibilities:The candidate work on systems that drive all aspects of our business including daily pricing, P&L, compliance, financing, trade analysis, and risk management. Ideally the candidate will operate vertically over the entire technology stack from database to service tier and UI and will deal with a huge variety of asset classes including equities, FX, Fixed Income, exotic derivatives and more. Technologies:C#, .NET 4.0, WPF, WCF, ASP.Net, Angular/HTML 5MVC/MVVM, ORM (nHibernate / Entity Framework)SQL Server, OLAPSoft Skills:Able to be both pragmatic and strategic and able to analyze and weigh trade-offs.  Good judgment striking balance between time to market and long-term maintainability/reusabilityThrive in a rapidly changing, fast paced business environmentExperience with test-driven-designExcellent communication skills with both technical colleagues and non-technical end-users ","New York, NY",Financial Programmer Analyst - Hedge Fund,2 days ago,"C#, .NET 4.0, WPF, WCF, ASP.Net, Angular/HTML 5"
Macy's,Full Time,"Overview:The Director drives strategic and operational direction for a defined functional area to support Macys' business plan. Forms effective partnerships across Macys and within MST. Exploits industry trends, identifies opportunities, executes strategic plans and ensures enterprise integration. Delivers results by leading efforts in planning, designing, implementing, and maintaining efficient systems and/or processes. Inspires achievement and drives excellence. Builds diverse, effective teams, and promotes career development throughout the organization.Macy's Systems & Technology (MST) is the information technology division of Macy's Inc. Macy's Inc. is the nation's largest operator of department stores with over 800 department store locations in 46 states. In addition, we operate major catalog and internet operations for Bloomingdale's and Macy's. Macy's Systems & Technology is headquartered in Johns Creek, a suburban setting northeast of Atlanta, Georgia.We offer competitive salaries, comprehensive benefits, employee fitness center and a merchandise discount.Key Accountabilities:- Delivers results by driving strategic and operational direction through effective planning, organizing, prioritizing staff assignments, and continual analysis of workload and personnel needs. A director is responsible for the success of multiple concurrent cross-functional tasks. Drives and manages change. Sets priorities based on thorough understanding of business initiatives; monitors progress of assignments, redistributing resources where appropriate.- Develops, directs, and executes strategic plans in collaboration with the appropriate stakeholders. Ability to build and establish solid working relationships by providing timely, accurate and high quality information to peers, subordinates, upper management and/or customers- Demonstrates exceptional appropriate functional knowledge and skills relevant to operational area. Budgets, forecasts and monitors capital and expenses. Directs and/or performs cost benefit analysis and business feasibility studies and makes recommendations.- Advises MST senior management on strategic plans and improvements to systems and processes. Partners with customers to develop and execute business vision and strategic plan.5. Collaborates with appropriate stakeholders to identify, recommend, and implement improvements to systems and processes. Ensures compliance with existing processes and standards.- Designs, establishes, and maintains an unit structure and staffing to effectively accomplish the organization's goals and objectives; employs, trains, directs, and counsels unit staff. Develops, motivates, empowers, and evaluates team to expand professional, management, leadership, and technical skills. Responsible for ensuring continued success of the team members within their functional work area. Identifies strengths and abilities in associates, provides feedback, drives career planning discussions, empowers and motivates associates to achieve goals.Skills Summary:- Achieves planned results by decisions and actions based on professional methods, business principles, and practical experience.- Ability to garner trust among stakeholders.- Generally 5-8 years experience in related field and some managerial experience preferred.- Significant, successful and proven Information Technology and/or Retail industry experience.- Demonstrates an advanced functional understanding of the retail processes, their supporting applications and their inter-relationships with other FOB suites of systems.- Persists in the face of obstacles, negotiates persuasively and influences and shapes the decisions of others.- Ability to make difficult decisions based on solid business judgment and functional experience.- Excellent interpersonal skills; ability to build strong collaborative partnerships across functional lines and at many levels within MST.- Ability to communicate effectively, both orally and in writing.- Professional demeanor and approach to job responsibilities.- Excellent organization skills, time management skills, and meeting facilitation skills.- Ability to manage change effectively and maintain a flexible management response to changing circumstances and customer needs.- Ability to effectively lead, motivate and develop associates. Should be able to model professional management skills and behaviors.- Comprehensive PC skills that include standard MST business tools appropriate to position.- Introductory understanding of the business.- Intermediate in Word, Excel, Power Point, and Lotus Notes.- Bachelor's Degree and equivalent work experience.This job description is not all inclusive. Macy's Inc. reserves the right to amend this job description at any time. Macy's Inc. is an Equal Opportunity Employer, committed to a diverse and inclusive work environment.","Suwanee, GA","Director (data solutions, .Net, TIBCO, Java, Marketing Systems)",3 days ago,See job overview.
Macy's,Full Time,"Overview:The Director drives strategic and operational direction for a defined functional area to support Macys' business plan. Forms effective partnerships across Macys and within MST. Exploits industry trends, identifies opportunities, executes strategic plans and ensures enterprise integration. Delivers results by leading efforts in planning, designing, implementing, and maintaining efficient systems and/or processes. Inspires achievement and drives excellence. Builds diverse, effective teams, and promotes career development throughout the organization.Macy's Systems & Technology (MST) is the information technology division of Macy's Inc. Macy's Inc. is the nation's largest operator of department stores with over 800 department store locations in 46 states. In addition, we operate major catalog and internet operations for Bloomingdale's and Macy's. Macy's Systems & Technology is headquartered in Johns Creek, a suburban setting northeast of Atlanta, Georgia.We offer competitive salaries, comprehensive benefits, employee fitness center and a merchandise discount.Key Accountabilities:- Delivers results by driving strategic and operational direction through effective planning, organizing, prioritizing staff assignments, and continual analysis of workload and personnel needs. A director is responsible for the success of multiple concurrent cross-functional tasks. Drives and manages change. Sets priorities based on thorough understanding of business initiatives; monitors progress of assignments, redistributing resources where appropriate.- Develops, directs, and executes strategic plans in collaboration with the appropriate stakeholders. Ability to build and establish solid working relationships by providing timely, accurate and high quality information to peers, subordinates, upper management and/or customers- Demonstrates exceptional appropriate functional knowledge and skills relevant to operational area. Budgets, forecasts and monitors capital and expenses. Directs and/or performs cost benefit analysis and business feasibility studies and makes recommendations.- Advises MST senior management on strategic plans and improvements to systems and processes. Partners with customers to develop and execute business vision and strategic plan.5. Collaborates with appropriate stakeholders to identify, recommend, and implement improvements to systems and processes. Ensures compliance with existing processes and standards.- Designs, establishes, and maintains an unit structure and staffing to effectively accomplish the organization's goals and objectives; employs, trains, directs, and counsels unit staff. Develops, motivates, empowers, and evaluates team to expand professional, management, leadership, and technical skills. Responsible for ensuring continued success of the team members within their functional work area. Identifies strengths and abilities in associates, provides feedback, drives career planning discussions, empowers and motivates associates to achieve goals.Skills Summary:- Achieves planned results by decisions and actions based on professional methods, business principles, and practical experience.- Ability to garner trust among stakeholders.- Generally 5-8 years experience in related field and some managerial experience preferred.- Significant, successful and proven Information Technology and/or Retail industry experience.- Demonstrates an advanced functional understanding of the retail processes, their supporting applications and their inter-relationships with other FOB suites of systems.- Persists in the face of obstacles, negotiates persuasively and influences and shapes the decisions of others.- Ability to make difficult decisions based on solid business judgment and functional experience.- Excellent interpersonal skills; ability to build strong collaborative partnerships across functional lines and at many levels within MST.- Ability to communicate effectively, both orally and in writing.- Professional demeanor and approach to job responsibilities.- Excellent organization skills, time management skills, and meeting facilitation skills.- Ability to manage change effectively and maintain a flexible management response to changing circumstances and customer needs.- Ability to effectively lead, motivate and develop associates. Should be able to model professional management skills and behaviors.- Comprehensive PC skills that include standard MST business tools appropriate to position.- Introductory understanding of the business.- Intermediate in Word, Excel, Power Point, and Lotus Notes.- Bachelor's Degree and equivalent work experience.This job description is not all inclusive. Macy's Inc. reserves the right to amend this job description at any time. Macy's Inc. is an Equal Opportunity Employer, committed to a diverse and inclusive work environment.","Suwanee, GA","Director (data solutions, .Net, TIBCO, Java, Marketing Systems)",3 days ago,See job overview.
A2C Consulting,"Full Time, Contract Independent, Contract W2, C2H Independent, C2H W2","OverviewExciting software engineering opportunity to join a fast growing software engineering COE in Toronto area.Will be join an elite team of developers tasked to build best of breed azure platform servicing all of the largest Life Sciences Conglomerates throughout the North AmericaEnvironmentBest of Breed Software COEWorld Class Service ProviderFull Microsoft Stack-MVCazure .net CoreNew Product DevelopmentThe OpportunitySenior Dotnet Developers will be building custom CRM interfaces on a best of breed CRM .Net PlatformFull stack and backend responsibilitiesFuture Plans for Big Data Azure Cloud OperationsRequisite Skills and ExperienceOpportunities for architect- tech leadsStrong experience with MVC frameworks and Web ServicesC# and asp.net-Visual Studio 2010Strong experience with Microsoft’s Cloud Technologies, including Azure and .Net Core (a Plus)Exposure to Docker or similar Container’sStrong background with CentOS and/or UbuntuExperience running Internet facing or SLA’d auto-deployed environmentsBackground automating AWS, Openstack or VMwareSolid source code control management skills, particularly with a distributed SCM like GitCan follow a stack traces back to code and come up with a root causeTrouble-shooting in very complex distributed environments Why This RoleWorld Class .Net PlatformPrestigious Client subscriber BaseAggressive Career Path TrackChance to make a DifferenceCloud exposure","Toronto, ON",dotnet architect/lead developer,2 days ago,"dotnet architect/lead developer CRM interfaces MVC frameworks and Web Services C# asp.net-Visual Microsofts Cloud Technologies Docker CentOS AWS, Openstack, VMware"
A2C Consulting,"Full Time, Contract Independent, Contract W2, C2H Independent, C2H W2","OverviewExciting software engineering opportunity to join a fast growing software engineering COE in Toronto area.Will be join an elite team of developers tasked to build best of breed azure platform servicing all of the largest Life Sciences Conglomerates throughout the North AmericaEnvironmentBest of Breed Software COEWorld Class Service ProviderFull Microsoft Stack-MVCazure .net CoreNew Product DevelopmentThe OpportunitySenior Dotnet Developers will be building custom CRM interfaces on a best of breed CRM .Net PlatformFull stack and backend responsibilitiesFuture Plans for Big Data Azure Cloud OperationsRequisite Skills and ExperienceOpportunities for architect- tech leadsStrong experience with MVC frameworks and Web ServicesC# and asp.net-Visual Studio 2010Strong experience with Microsoft’s Cloud Technologies, including Azure and .Net Core (a Plus)Exposure to Docker or similar Container’sStrong background with CentOS and/or UbuntuExperience running Internet facing or SLA’d auto-deployed environmentsBackground automating AWS, Openstack or VMwareSolid source code control management skills, particularly with a distributed SCM like GitCan follow a stack traces back to code and come up with a root causeTrouble-shooting in very complex distributed environments Why This RoleWorld Class .Net PlatformPrestigious Client subscriber BaseAggressive Career Path TrackChance to make a DifferenceCloud exposure","Toronto, ON",dotnet architect/lead developer,2 days ago,"dotnet architect/lead developer CRM interfaces MVC frameworks and Web Services C# asp.net-Visual Microsofts Cloud Technologies Docker CentOS AWS, Openstack, VMware"
A2C Consulting,"Full Time, Contract Corp-To-Corp, Contract Independent, Contract W2, C2H Corp-To-Corp, C2H Independent, C2H W2, 12 mo","OverviewJoin an elite team of data management professionals from the start of an MDM implementation.  Chief architect is spearheading enterprise EDW re-platform with MDM being a strategic  component of the overall solutionEnvironmentEnterprise IT Transformation-EDW ReplatformGreenfield MDM-RDM ImplementationRedshift AWS Cloud SolutionMicrosoft StackData Quality-CleansingThe OpportunityMDM Integration consultants will work under the direction of the Chief Architect on design/development of Master Data and Reference DataFrom scratch MDM Cloud implementationRequisite Skills and Experience7-10 Years MDM Integration ExperienceIdeal Team Member has Off premise MDM (tools) cloud exposure (Orchestra-Tibco -Bluewolf-Reltio)The applicant will have a demonstrated proficiency and work experience in master data and reference data management design and development workHands on development experience with any mix of on premise MDM Tools: IBM Infosphere MDM, Microsoft MDS,  Informatica Data Quality MDM (Siperian), Talend mdm, Oracle etcWhy This OpportunityGround floor role on MDM ImplementationInvaluable exposure to MDM CloudBest of Breed Technology StackHighly Visible CTO sponsored Project ","Princeton, NJ",Lead MDM Consultant,4 days ago,"etl, sql server, data quality, data cleansing, cloud, data quality testing, etl, metadata, data governance, mdm, rdm, mds, infosphere, siperian, informatica , orchestra, aws, bluewolf, master data"
